id,tweet_link,tweet_link_decision,text,created_at,favorite_count,retweet_count,lang,user_id,user_name,user_screen_name,twitter_profile_link,twitter_profile_link_decision,botometer_score,botometer_calculation_date,user_followers_count,user_friends_count,user_favourites_count,user_listed_count,user_statuses_count,user_description,user_location,user_created_at,user_verified,user_protected,manual_bot_check,threshold_date,account_age,label
1497840712821329923,https://twitter.com/frnews_ng/status/1497840712821329923,deleted post,"""""""Go back to your country"""":  brave little girl confronts invading Putin's Army #DefendUkraine #UkraineRussiaWar #Ukriane https://t.co/E3eZiTZBLL""",Sun Feb 27 07:47:09 +0000 2022,2392,843,en,1577680202,FR News Now,frnews_ng,https://twitter.com/frnews_ng,,0.5,,10033,7066,3202,25,17848,Media Network 79ADF164 feelrivers@gmail.com,Rivers State,2013-07-08 13:24:47+00:00,False,False,,2022-02-24 00:00:00+00:00,3152,misinfo
1581668790101737474,https://twitter.com/InUAOfficial/status/1581668790101737474,suspended account,Ukraine unbreakable. Six months after russia came and went. https://t.co/5ePxHSX6wm,Sun Oct 16 15:30:00 +0000 2022,119,23,en,1575768014460313600,InUkraine,InUAOfficial,https://twitter.com/InUAOfficial,account suspended,,,5737,0,2,31,899,We are on Facebook: https://www.facebook.com/inukraine.official,,2022-09-30 08:43:54+00:00,False,False,,2022-02-24 00:00:00+00:00,-219,misinfo
1497196542138196000,https://twitter.com/NeilPHauer/status/1497196542138196000,,"Another video from Grozny, Chechnya sent to me by local source today. Thousands of additional Chechen government forces being deployed to Ukraine as part of Russia's occupation force. https://t.co/4c8tJS1bqp",Fri Feb 25 13:07:26 +0000 2022,9712,4814,en,2467139606,Neil Hauer,NeilPHauer,https://twitter.com/NeilPHauer,,0.1,30/05/2023,70736,1065,31227,2033,19328,"Russia, Ukraine & Caucasus: Armenia, Georgia, Chechnya etc for @bneintellinews. Stories @CNN, @guardian, @AJEnglish etc. 🇨🇦 neil.hauer@gmail.com. Eng/рус/հայ.",Currently: Ukraine,2014-04-28 03:24:23+00:00,True,False,,2022-02-24 00:00:00+00:00,2858,misinfo
1627109093776232448,https://twitter.com/RepMTG/status/1627109093776232448,,"Joe Biden will be impeached.  Ukraine is NOT the 51st state!!!  We are in over $34 TRILLION in debt, borders invaded daily by the thousands, and Americans have been poisoned in East Palestine.  ENOUGH!!!  IMPEACH BIDEN!!!",Sun Feb 19 00:53:32 +0000 2023,81755,22222,en,1344356576786866176,Rep. Marjorie Taylor Greene🇺🇸,RepMTG,https://twitter.com/RepMTG,,0.0,,1995993,328,1986,4372,3630,"Christian, Mother, American, Business Owner, and Congresswoman representing Georgia’s 14th District","Rome, GA",2020-12-30 18:57:01+00:00,True,False,,2022-02-24 00:00:00+00:00,420,misinfo
1573047515184005120,https://twitter.com/FreedomsBritish/status/1573047515184005120,suspended account,"TWISTED EXCLUSIVE.... This is the Globalist drug addict, freak and war criminal that Truss is giving £billions of your money too which will inevitably lead to the total destruction of The UK. Did you vote for this ?   ZELENSKY, 1999, NEW YORK. https://t.co/ZL1kEX6yI1",Thu Sep 22 20:32:08 +0000 2022,38,31,en,1450466664852697099,British National Front 🇬🇧 🇷🇺 🏴󠁧󠁢󠁥󠁮󠁧󠁿✝️,FreedomsBritish,https://twitter.com/FreedomsBritish,account suspended,,,1557,968,8748,10,12221,"Multi-culture never has worked anywhere in the World, neither has multi race, or multi religion, it might sound good but it's actually a recipe for disaster.",,2021-10-19 14:19:59+00:00,False,False,,2022-02-24 00:00:00+00:00,127,misinfo
1497229669019574274,https://twitter.com/jimsciutto/status/1497229669019574274,,"""Read Putin’s latest words on Ukraine’s elected leaders and decide if he’s serious about negotiating:  """"This gang of drug addicts and neo-Nazis that has settled in Kyiv and taken hostage the entire Ukrainian people.""""""",Fri Feb 25 15:19:04 +0000 2022,2236,615,en,22129280,Jim Sciutto,jimsciutto,https://twitter.com/jimsciutto,,0.0,27/05/2023,520989,1168,4591,6126,37321,"CNN Anchor & Chief Nat Sec Correspondent, Author, “The Madman Theory” and “The Shadow War” https://www.harpercollins.com/blogs/authors/jim-sciutto","Washington, DC & New York, NY",2009-02-27 11:07:05+00:00,True,False,,2022-02-24 00:00:00+00:00,4744,misinfo
1504082125968007174,https://twitter.com/JoshGerben/status/1504082125968007174,,"""Trademark squatting has begun in Russia.  On March 12th, a trademark application was filed for the McDonald's logo with the words """"Uncle Vanya.""""  The Russian State Duma had earlier suggested that Russia would replace all McDonald's with """"Uncle Vanya's.""""  h/t @Oh_89   #McDonalds https://t.co/JlUfkLK67J""",Wed Mar 16 13:08:17 +0000 2022,472,309,en,245130690,Josh Gerben,JoshGerben,https://twitter.com/JoshGerben,,0.4,,9036,164,1555,98,2347,"Trademark attorney • Founder of Gerben Intellectual Property • 7,000+ trademarks registered for clients • Seen on @CNBC @CNN @NPR @ESPN • Contributor @Boardroom","Washington, DC",2011-01-30 23:33:15+00:00,False,False,,2022-02-24 00:00:00+00:00,4042,misinfo
1584572006535933957,https://twitter.com/nexta_tv/status/1584572006535933957,,#Iran may provide #Russia with Arash-2 drones capable of hitting air defense systems. This was stated by the head of the Center for Military Legal Research Alexander Musienko. https://t.co/IESF4a9mo9,Mon Oct 24 15:46:20 +0000 2022,625,183,en,1891490382,NEXTA,nexta_tv,https://twitter.com/nexta_tv,,0.0,,1019674,90,1771,8962,17567,The largest Eastern European media. To let the world know.  Become our patron: http://patreon.com/nexta_tv,,2013-09-21 21:24:04+00:00,True,False,,2022-02-24 00:00:00+00:00,3077,misinfo
1497840669066502145,https://twitter.com/DmytroKuleba/status/1497840669066502145,,"Foreigners willing to defend Ukraine and world order as part of the International Legion of Territorial Defense of Ukraine, I invite you to contact foreign diplomatic missions of Ukraine in your respective countries. Together we defeated Hitler, and we will defeat Putin, too.",Sun Feb 27 07:46:58 +0000 2022,46826,12709,en,2885493519,Dmytro Kuleba,DmytroKuleba,https://twitter.com/DmytroKuleba,,0.0,,627044,205,2217,4972,6814,Міністр закордонних справ України 🇺🇦 Minister of Foreign Affairs of Ukraine,Київ,2014-11-20 11:38:47+00:00,True,False,,2022-02-24 00:00:00+00:00,2652,misinfo
1497151235148988418,https://twitter.com/HoyPorHoy/status/1497151235148988418,,VÍDEO | El tanque ruso avanzando por el sur de Ucrania con la bandera de la antigua Unión Soviética https://t.co/3zf8tomhPb,Fri Feb 25 10:07:24 +0000 2022,119,59,es,225887277,Hoy por Hoy,HoyPorHoy,https://twitter.com/HoyPorHoy,,0.0,,206993,1122,7333,2068,101906,"Programa líder de la radio en España. De lunes a viernes, de 06:00 a 12:20h en @La_SER, con @AngelsBarcelo 📞638 313 466  🌐 Nuestras redes: https://t.co/BohJfnP78N",,2010-12-12 18:30:00+00:00,True,False,,2022-02-24 00:00:00+00:00,4091,misinfo
1561138761865564161,https://twitter.com/margbarrusiye/status/1561138761865564161,,"***BREAKING***  Law enforcement in Russia have issued an arrest warrant for SAMOYLO HAIDYUK, a Ukrainian national residing in Russia and believed to be Darya Dugina's assassin.  Here is the suspect at an Azov training camp circa 2017. https://t.co/4Lwh9AK9XD",Sat Aug 20 23:51:00 +0000 2022,1132,132,en,1512811216904802305,Sramzan Kafirov,margbarrusiye,https://twitter.com/margbarrusiye,,1.0,,1881,125,16571,21,3267,Ахмат могила!,Grozny-on-Don,2022-04-09 15:14:44+00:00,False,False,,2022-02-24 00:00:00+00:00,-45,misinfo
1526200941095051270,https://twitter.com/von_baerl/status/1526200941095051270,,"Nancy Faeser, unsere Bundesinnenministerin, kann in der Geste des ukrainischen Staatsbürgers natürlich keinen Hitler-Gruß erkennen. Wahrscheinlich als einzige. #NancyFaeser #HitlerGruß #Ukraine #ESC https://t.co/XKp1jAA4ry",Mon May 16 14:00:34 +0000 2022,210,80,de,1462554936059826181,Rüdiger von Baerl,von_baerl,https://twitter.com/von_baerl,,0.6,,1100,497,3265,5,2139,Ich wünsche mir die 70er und 80er Jahre mit ihrer Unbefangenheit und einer in eine positive Zukunft denkenden Einstellung zurück.,🇩🇪,2021-11-21 22:54:19+00:00,False,False,,2022-02-24 00:00:00+00:00,94,misinfo
1496788626658807814,https://twitter.com/visegrad24/status/1496788626658807814,deleted post,"""The Japanese ambassador to Ukraine stayed in Kiev.  His great-grandfather's samurai sword and traditional armor was delivered to him from Tokyo, Japan.   In a FB post, he declared that the samurai must protect the country in which he is!  “Glory to Japan! Glory to Ukraine!""""  🇯🇵🇺🇦 https://t.co/kixeXfumqx""",Thu Feb 24 10:06:32 +0000 2022,47443,8764,en,1222773302441148416,Visegrád 24,visegrad24,https://twitter.com/visegrad24,,0.0,,151441,476,2987,1100,7573,"News, politics, current affairs, history and culture from the Visegrad countries. 🇨🇿🇭🇺🇵🇱🇸🇰",Visegrad,2020-01-30 06:48:04+00:00,False,False,,2022-02-24 00:00:00+00:00,755,misinfo
1533454726448271363,https://twitter.com/GasBuddyGuy/status/1533454726448271363,,"I rate this as adequately phrased- the SPR release hasn't caused prices to fall sharply, but has likely insulated against even sharper jumps in oil. However, the larger problem of refining capacity- or lack thereof due to Covid- is now a major factor in #gasprice jumps.",Sun Jun 05 14:24:31 +0000 2022,44,9,en,35941034,Patrick De Haan ⛽️📊,GasBuddyGuy,https://twitter.com/GasBuddyGuy,,1.1,,41161,1840,21654,716,32415,"not defined by political agendas. oil & refined products analyst, foremost expert on oil and gasoline prices. obsessed with data quality. gas price myth buster.","Chicago via Grand Rapids, MI",2009-04-28 01:29:47+00:00,True,False,,2022-02-24 00:00:00+00:00,4684,misinfo
1584648866632065024,https://twitter.com/william_jengu/status/1584648866632065024,,"""[🇺🇦]⚡""""Zelensky est un trou noir qui absorbe le flux inépuisable de l'argent des contribuables européens"""".   🇩🇪Couverture du magazine allemand Titanic.  @donbasspacifique https://t.co/alIvqlLJ9g""",Mon Oct 24 20:51:45 +0000 2022,34,27,fr,783675294402146304,UNCOVER infos™ 😏🎙️,william_jengu,https://twitter.com/william_jengu,Doesn't exist,,,3886,120,3918,16,26636,"Art19(Decla Droit de l'Hoe): Droit à la liberté d’opinion...,sans être inquiété pour ces opinions, de chercher...et repandre les info/Cpte Secours:Uncover_4ever",everywhere,2016-10-05 14:28:45+00:00,False,False,,2022-02-24 00:00:00+00:00,1967,misinfo
1497209750202863620,https://twitter.com/WW3updated/status/1497209750202863620,,Ukrainian🇺🇦 soldiers ambush and take out Russian🇷🇺 soldiers in Kyiv today.  #UKRAINE  https://t.co/bYXoqzNP1p,Fri Feb 25 13:59:55 +0000 2022,8816,2181,en,1496808190700363779,Ukraine Updates,WW3updated,https://twitter.com/WW3updated,,1.9,05/03/2022,39842,20,13,237,801,Covering all global affairs,,2022-02-24 11:24:22+00:00,False,False,,2022-02-24 00:00:00+00:00,-1,misinfo
1497134141627850789,https://twitter.com/franakviacorka/status/1497134141627850789,,"In Ukraine, a Russian tank had driven over the civilian car. Terrifying footage. My thoughts are with the people of Ukraine. https://t.co/hmIDNCUeus",Fri Feb 25 08:59:29 +0000 2022,28959,11905,en,81572408,Franak Viačorka,franakviacorka,https://twitter.com/franakviacorka,,0.1,26/05/2023,77368,3497,6313,1166,16907,Senior Advisor to Sviatlana Tsikhanouskaya Contact: franak@tsikhanouskaya.org,"Minsk, Belarus",2009-10-11 11:09:21+00:00,True,False,,2022-02-24 00:00:00+00:00,4518,misinfo
1510640764958777350,https://twitter.com/EmbajadaRusaES/status/1510640764958777350,,"""‼️ Las fotos y videos de la ciudad ucraniana de #Bucha con """"evidencia de crímenes"""" de los militares rusos son otra falsificación del régimen de #Kiev para los medios occidentales, anunció este domingo el Ministerio de Defensa de #Rusia.  @MAECgob @desdelamoncloa @Defensagob https://t.co/eG7T1rDJ2g""",Sun Apr 03 15:29:59 +0000 2022,748,519,es,343933160,Rusia en España,EmbajadaRusaES,https://twitter.com/EmbajadaRusaES,,0.1,,29688,715,7832,334,13194,Cuenta oficial de la Embajada de la Federación de Rusia en el Reino de España 🇷🇺🇪🇸,Madrid,2011-07-28 09:13:00+00:00,True,False,,2022-02-24 00:00:00+00:00,3863,misinfo
1624378655580250112,https://twitter.com/frysIan_fvd/status/1624378655580250112,suspended account,Dit zou onze vlag moeten zijn !! Lange Leve Rusland Lang Leve Putin #RutteMoetWeg #StemZeWeg  #psvgro #heefey #ajarkc https://t.co/sOAD4aEmND,Sat Feb 11 12:03:45 +0000 2023,24,6,nl,1501908894074953731,FVD FrysIân,frysIan_fvd,https://twitter.com/frysIan_fvd,Doesn't exist,,,2289,2446,2431,20,49,Dit is het unofficiëIe twitteraccount van de ProvinciaIe Statenfractie FVD FrysIân,,2022-03-10 13:12:47+00:00,False,False,,2022-02-24 00:00:00+00:00,-15,misinfo
1500982285142827008,https://twitter.com/DicarloRosemary/status/1500982285142827008,,"Nearly two weeks on, it is painfully clear that those suffering the most after Russia's invasion of #Ukraine are civilians - killed, wounded, displaced. This war is senseless. We are ready to support all good-faith efforts at negotiation to end the bloodshed.",Mon Mar 07 23:50:38 +0000 2022,874,294,en,1167159986037936129,Rosemary A. DiCarlo,DicarloRosemary,https://twitter.com/DicarloRosemary,,0.1,,17700,115,125,102,407,United Nations Under-Secretary-General for Political and Peacebuilding Affairs @UNDPPA,,2019-08-29 19:46:28+00:00,True,False,,2022-02-24 00:00:00+00:00,909,misinfo
1499014440775467013,https://twitter.com/kishanreddybjp/status/1499014440775467013,,"Live: Receiving stranded students from #Ukraine, who have been evacuated under #OperationGanga from Budapest, on their arrival at New Delhi.  https://t.co/MUZ0c3Ul08",Wed Mar 02 13:31:07 +0000 2022,401,361,en,160509668,G Kishan Reddy,kishanreddybjp,https://twitter.com/kishanreddybjp,,0.1,,306315,764,36373,422,30386,"Union Minister For Culture, Tourism And Development Of North Eastern Region (DoNER), Government of India | MP - Secunderabad","Hyderabad, Telangana.",2010-06-28 11:05:12+00:00,True,False,,2022-02-24 00:00:00+00:00,4258,misinfo
1507722793022070786,https://twitter.com/paolomossetti/status/1507722793022070786,,"Il video pazzesco di un giovane Zelensky che scherza su Putin nel programma umoristico KVN (una specie di Giochi senza frontiere della comicità dei Paesi ex Urss), con Putin nel pubblico, che sorride e batte le mani.",Sat Mar 26 14:15:00 +0000 2022,360,91,it,261174847,Paolo Mossetti,paolomossetti,https://twitter.com/paolomossetti,,0.1,,2903,1115,4188,43,21024,"Economic anthropologist and writer.✍️Esquire, Le Grand Continent, Wired. Author of MIL MÁSCARAS (Akal, 2021) 🎭",Lviv 🇺🇦,2011-03-05 11:55:09+00:00,False,False,,2022-02-24 00:00:00+00:00,4008,misinfo
1626779089984946176,https://twitter.com/JackPosobiec/status/1626779089984946176,,Joe Biden just announced the US is going to be supporting the pensions in Ukraine https://t.co/9wfBPbf3RQ,Sat Feb 18 03:02:13 +0000 2023,19918,7110,en,592730371,Jack Posobiec 🇺🇸,JackPosobiec,https://twitter.com/JackPosobiec,,0.0,,2028745,985,123010,9556,161485,"Senior Editor, http://HumanEvents.com. Veteran Navy intel officer. Catholic","Washington, DC",2012-05-28 13:31:22+00:00,True,False,,2022-02-24 00:00:00+00:00,3558,misinfo
1502792114337366022,https://twitter.com/KyivIndependent/status/1502792114337366022,,"⚡️Zelensky: Sergeant Inna Derusova is the first woman to be awarded the Hero of Ukraine title posthumously.   A field medic, she was killed during the artillery attack on Okhtyrka on Feb. 24, the first day of Russia's invasion. She saved more than 10 soldiers that day.",Sat Mar 12 23:42:15 +0000 2022,55734,10086,en,1462548977367359490,The Kyiv Independent,KyivIndependent,https://twitter.com/KyivIndependent,,0.1,,1900360,19,132,13253,2009,Top-notch English-language journalism in Ukraine.  Become our patron: http://patreon.com/kyivindependent  Donate: http://gofundme.com/f/kyivindependent-launch,Kyiv,2021-11-21 22:30:41+00:00,True,False,,2022-02-24 00:00:00+00:00,94,misinfo
1501099601063034880,https://twitter.com/EUvsDisinfo/status/1501099601063034880,,"""""""Secret labs and bio-weapons"""" are among the most prominent pro-kremlin #disinfo tropes. Russian state media circulated it during the COVID-19 pandemic. Now we see attempts to use it again, to justify #PutinsWar against Ukraine. https://t.co/8XBEeTIR7f https://t.co/hVwJzK1Tpq""",Tue Mar 08 07:36:48 +0000 2022,195,153,en,4105477510,EUvsDisinfo,EUvsDisinfo,https://twitter.com/EUvsDisinfo,,0.2,,61999,700,484,1426,3382,EU East Stratcom Task Force #DisinfoReview: Subscribe: http://eepurl.com/bN1ub5 | http://euvsdisinfo.eu | Not official EU position | #EUvsDisinfo |,Brussels,2015-11-03 15:29:02+00:00,True,False,,2022-02-24 00:00:00+00:00,2304,misinfo
1586613115319472128,https://twitter.com/KNikephoros/status/1586613115319472128,,"Η Πολωνία προετοιμάστηκε για την επιστροφή των «δυτικών προαστίων» της Ουκρανίας πριν από οποιονδήποτε άλλον», γράφει ο «Dziennik Polityczny» από τη Βαρσοβία . Η Πολωνία έχει ήδη ειδικά δικαιώματα στην Ουκρανία και είναι έτοιμη να εισβαλει!ΟΛΑ ΚΑΛΑ; #Βελοπουλος https://t.co/A7MqMR0SAz",Sun Oct 30 06:56:59 +0000 2022,8,4,el,1445808055443148803,Κυριάκος Νικηφόρος,KNikephoros,https://twitter.com/KNikephoros,,1.7,,827,1093,297,2,9374,Έλληνας με μόνη  ιδεολογία τον ελληνισμό μας. Επικοινωνιολογος.,Αθήνα .,2021-10-06 17:48:32+00:00,False,False,,2022-02-24 00:00:00+00:00,140,misinfo
1510973047225917444,https://twitter.com/unherd/status/1510973047225917444,,Pornhub has a new category: “Ukrainian girls and war rape videos”' | @bindelj reports on the exploitation of women in Ukraine https://t.co/9egaCmKIWH,Mon Apr 04 13:30:21 +0000 2022,850,450,en,844169711072002048,UnHerd,unherd,https://twitter.com/unherd,,0.0,,85706,116,561,717,44007,"Challenging the herd with new and bold thinking in philosophy, politics and culture.","London, United Kingdom",2017-03-21 12:51:57+00:00,True,False,,2022-02-24 00:00:00+00:00,1800,misinfo
1513862833628397573,https://twitter.com/PeterPr76848126/status/1513862833628397573,,"@Backup_fis Het stuk Oekraïne waar geen oorlog is is 13x zo groot als NL, ra ra wat doe ik hier?",Tue Apr 12 12:53:20 +0000 2022,95,25,nl,1452178675651207170,Peter P. 🇱🇺,PeterPr76848126,https://twitter.com/PeterPr76848126,,0.8,,249,548,1962,1,1472,"Als je de krant niet leest ben je niet op de hoogte, als je hem wel leest ben je verkeerd geïnformeerd (Mark Twain)",ZEELAND,2021-10-24 07:43:02+00:00,False,False,,2022-02-24 00:00:00+00:00,122,misinfo
1575413001473216512,https://twitter.com/ErshadAlijani/status/1575413001473216512,,"""1-This video shows an Iranian loitering munition """"Shahed 136"""" in Ukraine, Odesa, on 25 September. According to reports, 2 Shahed136 attacked this building. https://t.co/2sAPeh7Y7h""",Thu Sep 29 09:11:43 +0000 2022,27,15,en,282795728,ERSHAD ALIJANI,ErshadAlijani,https://twitter.com/ErshadAlijani,,0.3,,10595,624,6949,228,12438,"Iranian journalist @France24 @RFI covering ME:Iran, Afghanistan. Factchecking, OSINT -2020 APDF Prize -Tweets in Persian, English, French. RTs≠endorsement",paris,2011-04-15 23:21:21+00:00,True,False,,2022-02-24 00:00:00+00:00,3967,misinfo
1506077036649263104,https://twitter.com/5thSu/status/1506077036649263104,suspended account,Meanwhile Western and European values of #Ukrainian people !!! Punishment of Children and Women for stealing food is now common in #Ukraine by Azov battalion !!! https://t.co/gX2cKI923P,Tue Mar 22 01:15:21 +0000 2022,114,69,en,1253688657925378050,Su-57 5th Gen Fighter,5thSu,https://twitter.com/5thSu,account suspended,,,6818,284,55681,77,44307,"Jai Shri Krishna, i Love #Putin.  RTs and news i post are not my views.. i just copy paste news from different Defense sites and forums..",Sochi,2020-04-24 14:14:19+00:00,False,False,,2022-02-24 00:00:00+00:00,670,misinfo
1509953626520920066,https://twitter.com/StratcomCentre/status/1509953626520920066,,First shocking videos emerge from Bucha after Russian forces retreated. Bodies left lying in the street; absolute destruction. This was a prosperous suburb just over a month ago.   #StopRussia #StandWithUkraine https://t.co/UQwXpKY212,Fri Apr 01 17:59:32 +0000 2022,780,564,en,1388819128052506627,Stratcom Centre UA,StratcomCentre,https://twitter.com/StratcomCentre,,0.1,,41051,309,273,1065,1930,The Centre for Strategic Communications and Information Security under the Ministry of Culture and Information Policy of Ukraine,,2021-05-02 11:35:44+00:00,True,False,,2022-02-24 00:00:00+00:00,297,misinfo
1579347170792452096,https://twitter.com/Ukraine66251776/status/1579347170792452096,suspended account,#BREAKING  Mushroom cloud in centre of #Kiev  4 Explosions reported in centre of Kiev   #Kyiv #CrimeanBridge https://t.co/N54jHFUBcr,Mon Oct 10 05:44:43 +0000 2022,1211,528,en,1517696955329228800,UkraineNews,Ukraine66251776,https://twitter.com/Ukraine66251776,account suspended,,,33555,2269,13491,440,8597,News from war zone Ukraine,,2022-04-23 02:49:27+00:00,False,False,,2022-02-24 00:00:00+00:00,-59,misinfo
